강남구,33,16,18,23,45,56,58,47,19,16,30,51,19,22,10,16,31,52,31,9,14,24,18,27,15,20,28,22
강동구,38,18,21,29,50,63,62,51,25,17,35,56,18,23,10,18,27,61,35,9,17,29,27,30,20,24,33,26
강북구,56,18,20,26,55,62,55,48,23,18,37,62,22,25,10,22,34,72,34,9,17,28,26,31,19,22,29,21
강서구,28,15,19,27,49,54,60,70,25,16,37,56,30,32,8,28,28,65,34,10,17,28,23,31,18,19,29,28
관악구,31,15,20,26,49,55,60,59,24,16,36,52,25,22,9,17,25,55,30,9,14,25,22,,17,20,28,23
광진구,40,12,18,24,45,59,59,33,19,14,34,55,19,24,8,17,36,61,38,9,13,27,22,30,18,18,30,20
구로구,33,12,17,28,51,60,65,46,22,14,39,59,27,22,6,16,28,64,31,5,10,27,23,31,16,20,31,25
금천구,38,18,21,28,51,59,69,51,26,19,43,63,26,30,11,21,30,66,37,11,18,28,23,33,19,21,31,29
노원구,54,20,23,23,58,64,62,64,22,18,38,64,29,29,15,22,36,65,61,13,22,33,26,29,24,28,31,29
도봉구,36,14,16,22,50,58,55,45,20,16,35,56,21,22,,18,35,70,29,8,14,25,25,29,16,20,29,11
동대문구,38,17,19,24,51,62,61,48,22,17,34,57,23,23,9,19,36,66,34,9,15,23,23,27,18,20,30,25
동작구,54,19,22,28,54,65,71,54,28,18,43,65,25,28,11,20,31,67,37,10,17,29,21,32,21,23,32,24
마포구,30,16,19,25,50,59,59,48,24,15,33,56,25,23,10,17,28,63,30,8,14,25,21,36,17,20,30,25
서대문구,42,10,16,16,53,59,53,71,18,13,25,55,20,25,5,16,32,60,22,8,12,20,24,23,14,16,32,15
서초구,49,13,18,25,53,63,68,50,22,15,35,59,24,39,6,19,30,64,32,6,9,29,25,31,17,19,32,27
성동구,42,16,17,21,40,52,54,43,20,16,29,49,21,21,6,16,29,56,31,10,14,23,22,27,17,18,26,22
성북구,36,16,18,26,50,59,56,71,23,16,34,55,22,22,10,20,36,67,33,9,14,26,24,27,18,21,31,24
송파구,35,18,20,24,44,54,60,48,25,18,33,51,19,25,10,19,29,54,31,10,16,24,24,28,17,21,29,22
양천구,34,19,24,33,60,69,72,87,28,18,41,66,30,27,8,21,31,72,37,10,18,29,25,34,19,24,34,28
영등포구,30,14,18,27,48,58,60,46,26,15,34,57,27,41,8,16,28,61,31,6,12,24,21,29,16,18,31,23
용산구,32,19,22,26,47,54,56,51,26,19,34,54,26,29,13,19,31,58,34,12,18,27,25,35,21,24,31,24
은평구,39,6,13,16,43,50,39,48,15,12,16,56,21,22,4,19,32,67,33,11,15,23,,25,19,20,30,24
종로구,37,17,20,26,52,62,56,75,23,17,34,58,23,25,11,19,36,59,36,9,16,27,19,20,19,21,32,26
중구,,,,,,,,,,,,,,,,,,,,,,,30,36,24,25,42,33
중랑구,37,17,19,27,51,62,54,51,22,17,33,54,20,24,10,18,36,65,35,9,14,27,26,29,19,22,32,26
