강남구,42,29,29,19,12,46,37,6,13,16,16,21,21,19,19,26,25,15,15,14,13,10,14,14,14,13,20,17,11,13,
강동구,47,31,32,19,7,45,49,7,14,16,17,23,23,18,18,26,27,15,14,14,13,11,15,16,15,14,20,19,12,13,
강북구,41,28,32,27,9,46,52,7,16,20,22,31,26,19,18,31,27,16,13,13,12,10,13,15,14,12,19,15,9,12,
강서구,56,32,32,18,10,55,33,5,8,14,17,24,24,16,19,28,23,24,21,12,16,13,14,13,14,11,15,26,14,11,
관악구,54,32,32,20,11,58,38,12,19,19,20,32,27,19,20,32,28,18,17,12,15,11,18,13,16,15,22,13,13,16,
광진구,45,28,28,18,10,47,44,6,13,16,16,25,23,17,17,26,25,14,14,14,12,9,13,13,13,12,19,16,14,11,
구로구,63,32,31,16,13,60,35,6,17,16,20,35,31,21,22,35,31,23,24,13,15,12,14,14,15,13,23,16,12,13,
금천구,50,28,31,20,13,34,33,8,15,16,18,28,24,16,19,32,24,15,17,19,,11,15,17,20,14,15,16,14,15,
노원구,46,31,35,30,5,16,59,9,18,21,20,29,28,20,21,33,31,17,14,11,13,13,15,17,16,15,23,19,13,15,
도봉구,41,25,28,25,11,48,79,6,16,23,15,32,28,20,22,41,30,24,16,12,14,11,13,14,14,15,16,14,13,12,
동대문구,45,30,30,18,10,50,40,5,13,18,18,26,22,17,18,26,25,15,16,11,11,10,13,13,14,12,20,16,11,11,
동작구,50,30,31,21,11,54,41,8,16,17,19,25,26,17,19,29,26,16,15,14,16,13,17,16,15,14,19,13,12,12,
마포구,59,33,35,20,10,56,37,8,16,17,16,27,28,18,20,31,28,19,21,11,15,13,16,16,15,12,21,19,14,15,
서대문구,43,22,30,35,3,18,88,6,10,19,18,33,30,20,17,25,28,15,17,11,12,9,11,12,12,7,19,13,9,5,
서초구,57,28,30,18,12,57,41,6,17,18,22,36,31,22,24,36,31,,19,14,16,18,16,15,13,16,25,17,13,11,
성동구,40,28,27,18,8,45,39,9,16,18,19,31,25,20,18,27,27,19,10,12,13,10,13,13,13,11,19,16,10,11,
성북구,42,27,30,22,12,52,79,10,18,20,23,37,41,29,24,,,18,16,12,13,13,14,15,14,13,21,15,13,14,
송파구,47,31,36,19,7,20,46,7,13,18,23,38,30,26,20,30,29,18,15,15,15,12,15,15,15,14,21,18,13,12,
양천구,59,35,32,21,6,58,37,7,17,16,19,27,23,15,18,27,23,16,17,10,11,9,13,12,14,12,19,15,11,12,
영등포구,54,32,33,19,10,53,31,4,12,13,14,22,20,14,18,26,23,16,15,9,11,9,12,13,12,10,17,17,9,10,
용산구,54,35,36,22,13,53,43,10,17,19,19,30,30,22,23,32,34,22,20,14,19,21,19,18,18,16,22,22,13,12,
은평구,51,26,31,19,11,57,44,8,20,18,23,38,33,24,28,37,33,23,23,18,18,13,14,15,15,14,23,15,16,14,
종로구,44,30,32,18,10,51,41,6,14,17,17,26,25,18,18,28,25,15,15,10,11,9,13,14,15,13,20,16,11,12,
중구,46,31,33,20,12,13,42,,14,18,17,24,23,16,18,27,25,18,19,13,13,11,14,16,15,12,19,16,11,12,
중랑구,45,28,32,32,6,50,49,8,17,19,20,31,27,20,19,30,30,16,16,13,14,11,14,15,15,13,21,18,12,13,
